# File ranges are half-open: start <= offset < end.
# type values are intentionally simple so tools can filter them:
# code, monitor-code, table, text, font, bitmap, resource, mixed, data, unknown.
# confidence values: confirmed, probable, rough.
start	end	type	confidence	segment	label	notes
0x00000	0x17708	code	probable		spelling-grammar-runtime-code	Code-like 8086 spelling/grammar runtime routines before linguistic tables and suffix records.
0x17708	0x17810	table	probable		linguistic-character-order-tables	High-byte character ordering/translation tables immediately before visible suffix records.
0x17810	0x186FE	data	probable		suffix-morphology-records	Visible suffix and morphology fragments including possessive, -ing, -ally, -ation, -ability, and related records.
0x186FE	0x1884C	data	probable		compact-word-fragment-prelude	Compact visible word-fragment stream before binary/index table bytes resume.
0x1884C	0x194A6	table	probable		linguistic-index-tables	Binary linguistic index/pointer tables between visible fragment streams, including dense lookup bytes and 16-bit offset-style entries.
0x194A6	0x1B800	data	probable		compact-word-fragment-stream	Dense compact word-fragment stream visible in low ROM string scans.
0x1B800	0x1B8DE	table	probable		linguistic-pointer-table	Small binary table immediately before phonetic/substitution string data.
0x1B8DE	0x1C0EE	data	probable		phonetic-substitution-tables	Phonetic and substitution text tables with compact vowel/consonant pattern fragments.
0x1C0EE	0x202E6	data	probable		spelling-exception-and-rule-data	Spelling exception and rule data with visible words such as although, doughnut, highlight, and related variants.
0x202E6	0x20790	table	probable		character-order-and-letter-set-tables	Character order, allowed-character, and letter-set tables.
0x20790	0x20C40	table	probable		linguistic-index-tables-2	Numeric/index tables preceding a small fragment string table.
0x20C40	0x20E36	data	probable		fragment-string-tables	Small late string and fragment tables.
0x20E36	0x20F78	table	probable		linguistic-rule-tables	Compact binary linguistic rule tables before zero padding.
0x20F78	0x2127C	data	confirmed		zero-padding	Mostly zero-filled padding between linguistic rule tables and late bitmask tables.
0x2127C	0x21366	table	probable		late-linguistic-bitmask-tables	Late small tables and bitmasks immediately before the next packed-data block.
0x21366	0x22000	data	confirmed		padding-3f-after-linguistic-tables	All 0x3F padding after low linguistic tables, ending on the next 0x2000-aligned boundary.
0x22000	0x5AF00	data	probable		packed-dictionary-records	Aligned stream of 0x80-byte packed records; each record mixes dense payload bytes with zero gaps and compact trailing indexes.
0x5AF00	0x60000	data	confirmed		padding-3f-bank2	Long 0x3F padding run.
0x60000	0x73760	code	probable	6000	ciet-thesaurus-runtime-code	Code-like CIET/InfoSoft thesaurus engine routines with far calls into shared firmware helpers.
